,filter_data,trim_graph,generate_table,color_mapping,generate_graph_elements
0,0.19953441619873047,0.02150440216064453,0.030005216598510742,0.0,0.00700068473815918
1,0.45157909393310547,0.03800630569458008,0.06101083755493164,0.0,0.014002323150634766
2,0.7476301193237305,0.055509328842163086,0.10201787948608398,0.0,0.0375065803527832
3,1.118194341659546,0.07101273536682129,0.14902591705322266,0.0,0.028505563735961914
4,1.5312678813934326,0.10701823234558105,0.20535063743591309,0.0,0.03850746154785156
5,2.0008492469787598,0.12252092361450195,0.2635464668273926,0.0,0.04550790786743164
6,2.560946464538574,0.12702178955078125,0.33005762100219727,0.0,0.0530095100402832
7,3.0830376148223877,0.14252471923828125,0.4150726795196533,0.0,0.08551526069641113
8,3.783975124359131,0.16252827644348145,0.49208593368530273,0.0,0.06951189041137695
9,4.489283561706543,0.18403148651123047,0.6006045341491699,0.0,0.10451889038085938
